job title,Publish Date,Closing Date,Level,Year of Exp,Hiring,Salary,Sex,Age,Term,Function/Category,Industry,Qualification,Language,Location,Job Requirement
Sales and Marketing Manager ប្រធានគ្រប់គ្រងការលក់ និងទីផ្សារ,Publish Date：Sep-09-2022,Closing Date：Oct-09-2022,Senior,3,1,Negotiable,Male/Female,Age Unlimited,Full Time,Marketing,Architecture/Building/Construction,Master Degree,Chinese-Mandarin-- Good English-- Good,Preah Sihanouk,"- At least 3 years experiences with Sale Marketing/Customer Services/others related field.
- Desire to achieve the set target;
- Bachelor Degree MKT, Management, Sales, Marketing equivalent (Master degree a plus);
- Excellent communication interpersonal skills;
High sense of responsibility, result oriented, dynamic, and resilient new challenges
- Good analytical creative problem solving skills;
Strong organizational time management skills;"
Senior Mechanic 450$ - 800$ (kompong Spue),Publish Date：Sep-09-2022,Closing Date：Oct-09-2022,Middle,2,2,Negotiable,Male,25 ~ 50,Full Time,Technician/Maintenance,Electronics/Electrical/Mechanical Equipment,Bachelor Degree,English-- Good,Kampong Speu,"- Bachelor Degree in Mechanical Engineering
- Fresh graduates Bachelor in Mechanical or related field
- Knowledge of mechanical skill with all machinery.
- Having a technical or technological aptitude.
- Basic PLC programming knowledge.
- Knowledge of computer application Microsoft office suite.
- Hard working and conscientious
- Good command of spoken and written English
- Have knowledge of correct application and use of shop tools and equipment 
- Proven managerial and problem solving skills"
Sales and Marketing Executive (​Digital Marketing) អ្នកប្រតិបត្តិការផ្នែកលក់ និងទីផ្សារ ឌីជីថល,Publish Date：Sep-08-2022,Closing Date：Oct-08-2022,Entry Level,~,4,Negotiable,Male/Female,Age Unlimited,Full Time,Marketing,Architecture/Building/Construction,Associate Degree,English-- Good,Preah Sihanouk,"1- Fresh graduates in Marketing or related fields are welcome.
2- Good at speaking/writing English Chinese an added advantage.
3- Good at using Ms. Office basically Outlook, Excel, Word.
4- Hard/smart working individual and customer oriented.
5- Ready to work under pressure to meet deadline.
6- Willing to learn and initiating improvement in daily work."
Operation Manager (Agriculture business),Publish Date：Sep-08-2022,Closing Date：Oct-08-2022,~,5,1,Negotiable,Male/Female,30 ~ 50,Full Time,Operation/Production,Agriculture/Foresty/Fishing,Bachelor Degree,English-- Good,Kampong Speu,"• At least Bachelor’s degree in related field such as Management, Sales & Marketing or Finance 
• Minimum 5 years working experience in the managerial levels in the mentioned area and or related
• Honest, highly responsible and reliable
• Good computer literacy (Internet and Email, Ms. Word, Excel)
• Ability to manage multi-tasks
• Proven management skills and ability to negotiate effectively with partners 
• Knowledge of data analysis and financial assessment 
• Proficient in English speaking, report writing and presentation
• Good integrity, positive attitude, helpful, high commitment, competence and motivation"
Japanese Chef,Publish Date：Sep-09-2022,Closing Date：Oct-09-2022,Senior,5,2,Negotiable,Male/Female,Age Unlimited,Full Time,Catering/Restaurant,Architecture/Building/Construction,Bachelor Degree,English-- Good Japanese-- Good,Preah Sihanouk,"• Japanese candidate
• Modern approach to Japanese cuisine
• Creative and passionate about food and hospitality industry
• Focus towards Luxury products and innovative
• Previous experience in creating menus is a plus
• Personalized Service to customers and interactive
• Management skills in leading and training a multicultural team
• Intermediate computer skills"
Machinery Manager,Publish Date：Sep-09-2022,Closing Date：Oct-09-2022,Middle,5,1,Negotiable,~,Age Unlimited,Full Time,Technician/Maintenance,Architecture/Building/Construction,Bachelor Degree,English-- Good,Kampong Speu,"- Be able to work at province
- Experience at least 5years in Mechanical or related field
- Knowledge of mechanical skill with all machinery.
- Having a technical or technological aptitude.
- Knowledge of computer application Microsoft office suite.
- Hard working and conscientious
- Good command of spoken and written English
- Hard-working, self-motivated, smart and fast learner"
Senior Mechanic 450$ - 800$ (kompong Spue),Publish Date：Sep-08-2022,Closing Date：Oct-08-2022,Middle,2,2,Negotiable,Male,25 ~ 50,Full Time,Technician/Maintenance,Electronics/Electrical/Mechanical Equipment,Bachelor Degree,English-- Good,Kampong Speu,"- Bachelor Degree in Mechanical Engineering
- Fresh graduates Bachelor in Mechanical or related field
- Knowledge of mechanical skill with all machinery.
- Having a technical or technological aptitude.
- Basic PLC programming knowledge.
- Knowledge of computer application Microsoft office suite.
- Hard working and conscientious
- Good command of spoken and written English
- Have knowledge of correct application and use of shop tools and equipment 
- Proven managerial and problem solving skills"
Senior Secretary/Personal Assistant,Publish Date：Sep-08-2022,Closing Date：Oct-08-2022,Senior,3,1,Negotiable,Male/Female,25 ~ 40,Full Time,Assistant/Secretary,Architecture/Building/Construction,Bachelor Degree,Chinese-Mandarin-- Good English-- Excellent,Phnom Penh,"•Graduate MBA or equivalent preferred with legal qualification
•Minimum 5 years work experience in Law or Business Management
•Proficiency in MS Office and accounting software
•Good personality, honesty and professional 
•Attention to Detail, Deadline-Oriented, and confidentiality.
•Professional knowledge of sale and marketing
•Be professional in communication skill
•Fluent in English Communication is a must and Chinese is Plus Advantage"
Machinery Manager,Publish Date：Sep-08-2022,Closing Date：Oct-08-2022,Middle,5,1,Negotiable,~,Age Unlimited,Full Time,Technician/Maintenance,Architecture/Building/Construction,Bachelor Degree,English-- Good,Kampong Speu,"- Be able to work at province
- Experience at least 5years in Mechanical or related field
- Knowledge of mechanical skill with all machinery.
- Having a technical or technological aptitude.
- Knowledge of computer application Microsoft office suite.
- Hard working and conscientious
- Good command of spoken and written English
- Hard-working, self-motivated, smart and fast learner"
Boiler Operator,Publish Date：Sep-08-2022,Closing Date：Oct-08-2022,Middle,1,1,Negotiable,Male,25 ~ 45,Full Time,Manufacturing,Architecture/Building/Construction,Bachelor Degree,English-- Good,Kampong Speu,
Finance Manager (Local & Expat),Publish Date：Sep-08-2022,Closing Date：Oct-08-2022,Senior,5,1,Negotiable,Female,25 ~ 45,Full Time,Accounting,Architecture/Building/Construction,Master Degree,English-- Good,Phnom Penh,"• CPA /ACCA, MBA preferred
• Minimum 5 years of experience in a similar position from properties services or commercial or retail building services or audit firm
• Have a flare for numbers, work well with people, aggressively anticipate impacts of workload/issues to team deadlines and have a very positive work attitude
• Strong experiences in income statement and narrative report analysis
• Advanced Excel Skills, ability to work with lookups and pivot tables
• Experience with Oracle Financial Analyzer or equivalent, and Business Intelligence, a plus
• Strong organizational, analytical and interpersonal skills;
• Strong verbal and written communication skills
• Self‐motivated to learn new concepts and participate in new projects"
Japanese Chef,Publish Date：Sep-08-2022,Closing Date：Oct-08-2022,Senior,5,2,Negotiable,Male/Female,Age Unlimited,Full Time,Catering/Restaurant,Architecture/Building/Construction,Bachelor Degree,English-- Good Japanese-- Good,Preah Sihanouk,"• Japanese candidate
• Modern approach to Japanese cuisine
• Creative and passionate about food and hospitality industry
• Focus towards Luxury products and innovative
• Previous experience in creating menus is a plus
• Personalized Service to customers and interactive
• Management skills in leading and training a multicultural team
• Intermediate computer skills"
Business Development Executive_ (Local) x 2 posts,Publish Date：Sep-08-2022,Closing Date：Oct-08-2022,Senior,3,1,Negotiable,Male/Female,Age Unlimited,Full Time,Architecture/Engineering,Agriculture/Foresty/Fishing,Bachelor Degree,English-- Good,Phnom Penh,
Sales Executive (local) x 3 post,Publish Date：Sep-08-2022,Closing Date：Oct-08-2022,Entry Level,~,3,Negotiable,Male/Female,Age Unlimited,Full Time,Sales,Architecture/Building/Construction,Associate Degree,English-- Good Chinese-Mandarin-- Fair,Phnom Penh,". Graduate bachelor preferred with Sale and Marketing qualification
• Minimum 2 years work experience in sale and marketing with Real Estate
• Proficiency in MS Office and accounting software
• Good personality, honesty and professional 
• Attention to Detail, Deadline-Oriented, and confidentiality.
• Professional knowledge of sale and marketing
• Be professional in communication skill
• Good in English Communication is a must and Chinese is Plus Advantage
• Ability to handle the guest complaint in very good manner and professionally"
Motor-Grander Driver (អ្នកបើកបរឡានស្ទូច) $300-$450,Publish Date：Sep-08-2022,Closing Date：Oct-08-2022,Middle,~,1,Negotiable,~,Age Unlimited,Full Time,Driver/Security,Architecture/Building/Construction,Bachelor Degree,English-- Good,Kampong Speu,"- ត្រូវមានសម្ថភាពបើកបរគ្រឿងយន្ត
- មានភាពស្មោះត្រង់
- យកចិត្តទុកដាក់និងធ្វើការ
- គោរពពេលវេលា"
